description,price,size_m2,bedrooms,bathrooms,parking_spaces
"Asa Sul, SHLS Bloco L",29.000,25,-,-,2
"Asa Sul, SCS Quadra 1 Bloco B Lote 16-18",90.000,34,-,-,-
"Asa Sul, SGAS 910",130.000,26,-,-,-
"Asa Norte, CLN 116 BLOCO H",140.000,35,-,1,-
"Asa Sul, SBS Quadra 3 Bloco B",150.000,55,-,1,-
"Asa Norte, CLN 316 BLOCO B",156.000,"33,33",-,-,-
"Asa Norte, CLN 303 BLOCO A",163.000,22,-,1,-
"Asa Sul, SEPS 714-914",190.000,"31,75",-,1,1
"Asa Sul, EQS 302-303",195.000,"33,82",-,-,-
"Asa Norte, SRTVN Conjunto C, 0",195.000,"32,9",-,1,-
"Asa Norte, SHLN BLOCO L LOTE 12",210.000,"30,7",-,-,-
"Asa Norte, SCRN 716 BLOCO F",220.000,"26,51",1,1,-
"Asa Norte, SHLN BLOCO L LOTE 12",229.000,"30,7",-,1,-
"Asa Norte, SCRN 710-711 BLOCO B",250.000,"30,75",1,1,-
"Asa Norte, SCRN 706-707 BLOCO H",250.000,"33,2",1,1,-
"Centro, SRTVS",250.000,34,-,1,-
"Asa Sul, SRTVS",250.000,34,-,1,-
"Centro, SHN QUADRA 1",255.000,"27,38",-,1,-
"Asa Sul, SEPS 714-914",255.000,"46,36",-,2,1
"Asa Norte, SHN QUADRA 1",255.000,"27,38",-,1,-
"Asa Sul, SRTVS Bloco K",260.000,"30,8",-,1,1
"Centro, SRTVS Bloco K",260.000,"30,8",-,1,1
"Asa Norte, CLN 116 BLOCO H",280.000,70,-,1,-
"Asa Norte, CLN 212 BLOCO C",282.900,"37,03",1,1,-
"Asa Norte, SMHN 2 Bloco A, 0",295.000,"40,63",-,1,-
"Jardim Botânico, Condomínio Morada de Deus",295.000,"728,39",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",295.000,"728,39",-,-,-
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",300.000,27,1,1,1
"Jardim Botânico, MORADA DE DEUS",300.000,536,-,-,-
"Asa Norte, CLN 116 BLOCO A, 0",328.000,"31,56",-,1,-
"Asa Sul, SHS Quadra 4 Bloco I",335.000,"25,66",1,1,1
"Asa Norte, SCLRN 706",350.000,"84,62",-,2,2
"Asa Sul, SHS Quadra 4 Bloco I",360.000,"28,83",1,1,1
"Asa Norte, SGAN 607",370.000,"30,91",-,1,1
"Asa Sul, SRTVS",380.000,"61,92",-,2,1
"Jardim Botânico, Condomínio Morada de Deus, 0",380.000,590,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus, 0",380.000,590,-,-,-
"Jardim Botânico, Condomínio Quinta dos Ipês",400.000,127,1,2,2
"Setor Habitacional Jardim Botânico, Condomínio Quinta dos Ipês",400.000,127,1,2,2
"Asa Norte, SCN QUADRA 1 BLOCO G",400.000,"31,94",-,1,-
"Jardim Botânico, Condomínio Morada de Deus",400.000,545,-,-,-
"Jardins Mangueiral, Quadra QC 1 Rua G",410.000,"74,61",2,2,2
"Noroeste, CLNW 10-11 Lote J",415.000,"32,79",1,1,1
"Asa Sul, SDS (Setor de Diversões Sul)",426.000,"61,77",-,1,-
"Centro, SDS (Setor de Diversões Sul)",426.000,"61,77",-,1,-
"Jardim Botânico, Condomínio Belvedere Green",430.000,1.000,1,1,-
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",430.000,1.000,1,1,-
"Noroeste, CLNW 10-11 Lote C, 0",450.000,"31,3",1,1,1
"Asa Norte, SEPN 509 BLOCO D",450.000,94,1,1,1
"Asa Sul, SQS 412 Bloco R",510.000,"49,5",2,2,-
"Lago Norte, CA 10 (Centro de Atividades)",510.000,"52,69",2,2,1
"Asa Norte, SQN 410 Bloco O",530.000,"44,42",2,1,-
Asa Sul,530.000,"50,92",-,1,-
"Lago Norte, CA 2 (Centro de Atividades)",550.000,"42,27",1,1,1
"Asa Sul, SQS 413 Bloco L",550.000,"56,7",2,2,-
"Centro, SHTN",580.000,"37,9",1,1,1
"Asa Norte, SHTN",580.000,"37,9",1,1,1
"Jardim Botânico, Condomínio Ouro Vermelho I",580.000,120,2,3,2
Sudoeste,620.000,62,2,1,-
"Asa Sul, SEPS 709-909",640.000,"65,74",-,2,-
"Jardins Mangueiral, Quadra QC 12 Rua F",650.000,82,3,3,2
"Jardim Botânico, Condomínio Ouro Vermelho I",695.000,200,5,4,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",695.000,200,5,4,-
"Park Way, SMPW QUADRA 13 CONJUNTO 7",750.000,150,3,3,2
"Jardim Botânico, Condominio Residencial Santa Monica - Alameda das Paineiras",770.000,405,4,4,2
"Jardim Botânico, Condomínio Ouro Vermelho I",780.000,120,2,1,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",780.000,120,2,1,2
"Asa Sul, SQS 406 Bloco L",795.000,"80,73",3,1,-
"Guará II, SGCV Lote 13",830.000,55,2,2,1
"PARK SUL, SGCV Lote 13",830.000,55,2,2,1
"Asa Sul, SCES Trecho 4",850.000,48,1,-,1
"Park Way, SMPW QUADRA 29",860.000,2.125,-,-,-
"Park Way, SMPW QUADRA 29 CONJUNTO 2, 0",860.000,2.125,-,-,-
"Asa Norte, SGAN 601 MÓDULO H",885.000,"73,94",-,2,1
"Setor Habitacional Jardim Botânico, Condomínio Privê Morada Sul Etapa A",900.000,120,2,1,3
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",900.000,120,2,1,3
"Park Way, SMPW QUADRA 22 CONJUNTO 2",900.000,2.125,-,-,-
"Asa Sul, SQS 405 Bloco H",930.000,"68,31",3,1,1
"Sudoeste, SQSW 504 BLOCO F",950.000,"64,69",2,2,1
"Park Way, SMPW QUADRA 17 CONJUNTO 2",950.000,2.500,-,-,-
"Asa Norte, SCLRN 706 BLOCO A",990.000,204,-,4,-
"Jardim Botânico, Condomínio Ouro Vermelho II",1.090.000,347,5,4,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",1.090.000,347,5,4,2
"Park Way, SMPW QUADRA 29",1.090.000,2.562,-,-,-
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.099.000,200,3,3,2
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.099.000,200,3,3,2
"Jardim Botânico, Condomínio Solar da Serra",1.100.000,244,4,3,2
"Park Way, SMPW QUADRA 28 CONJUNTO 3",1.100.000,"2.833,33",-,-,-
"Park Way, SMPW QUADRA 29",1.100.000,2.830,-,-,-
"Park Way, SMPW QUADRA 18",1.100.000,"2.110,75",-,-,-
"Asa Norte, SHCGN 703 BLOCO C",1.100.000,170,-,-,-
"PARK SUL, SGCV Lote 27",1.130.000,70,2,3,1
"Zona Industrial, SGCV Lote 27",1.140.000,70,2,2,1
"PARK SUL, SGCV Lote 27",1.140.000,70,2,2,1
"Sudoeste, SQSW 304 BLOCO D",1.150.000,"76,59",3,-,1
"Park Way, SMPW QUADRA 27",1.180.000,2.125,-,-,-
"Noroeste, SQNW 307 Bloco A",1.195.000,84,2,3,2
"Jardim Botânico, Condomínio Ouro Vermelho II",1.200.000,"243,68",3,3,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",1.200.000,"243,68",3,3,2
"Jardim Botânico, Condomínio Ouro Vermelho I",1.200.000,270,3,4,4
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.200.000,270,3,4,4
"Asa Sul, SQS 215",1.220.000,"88,07",2,2,-
"Jardim Botânico, Condomínio Jardim Botânico VI",1.230.000,"234,46",4,3,2
"Setor Habitacional Jardim Botânico, Condomínio Jardim Botânico VI",1.230.000,"234,46",4,3,2
"Sudoeste, SQSW 504 BLOCO F",1.250.000,"93,66",3,3,1
"Jardim Botânico, Condomínio Ville Montagne",1.250.000,185,2,2,1
"Jardim Botânico, Condomínio Mirante das Paineiras",1.250.000,354,3,4,3
"Setor Habitacional Jardim Botânico, Condomínio Mirante das Paineiras",1.250.000,354,3,4,3
"Jardim Botânico, Condomínio Solar da Serra",1.280.000,440,4,2,3
"Jardim Botânico, Condomínio Belvedere Green",1.290.000,"284,58",3,5,6
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",1.290.000,"284,58",3,5,6
"Jardim Botânico, Condomínio Belvedere Green",1.290.000,400,4,5,4
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",1.290.000,400,4,5,4
"Jardim Botânico, Condomínio Ouro Vermelho I",1.300.000,436,4,3,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.300.000,436,4,3,2
"Jardim Botânico, Condomínio Quintas do Sol",1.300.000,"398,27",5,5,2
"Asa Norte, SHCGN 703 BLOCO C",1.300.000,"173,5",-,-,-
"Asa Sul, SQS 102 Bloco C",1.350.000,"112,04",3,3,1
"Jardim Botânico, Condomínio Ouro Vermelho I",1.370.000,400,4,5,1
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.370.000,400,4,5,1
"Asa Norte, SQN 115 BLOCO E",1.380.000,"122,68",3,3,1
"Jardim Botânico, Condomínio Morada de Deus",1.390.000,290,3,3,2
"Jardim Botânico, Condomínio Quinta Interlagos",1.400.000,420,4,7,4
"Asa Sul, SHIGS 704",1.400.000,350,4,4,1
"Asa Sul, SHS Quadra 1",1.400.000,208,-,3,4
"Park Way, SMPW QUADRA 1 CONJUNTO 5",1.480.000,340,3,5,2
"Asa Sul, SHIGS 703",1.480.000,256,3,4,2
"Zona Industrial, Setor SCIA Quadra 11 Conjunto 2",1.530.000,420,-,4,-
"Jardim Botânico, Condomínio Morada de Deus",1.560.000,500,5,7,2
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.560.000,500,5,7,2
"Asa Sul, SQS 102 Bloco E",1.600.000,112,3,3,1
"Jardim Botânico, Condomínio Condominio Residencial Santa Monica",1.600.000,265,4,5,4
"Jardim Botânico, Condomínio Morada de Deus",1.680.000,"281,4",4,6,2
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.680.000,"281,4",4,6,2
"Park Way, SMPW QUADRA 24",1.700.000,400,4,4,-
"Jardim Botânico, Condomínio Mônaco",1.700.000,24.200,7,6,-
"Setor Habitacional Tororó (Jardim Botânico), Condomínio Mônaco",1.700.000,24.200,7,6,-
"Asa Sul, SHIGS 704 Bloco P",1.700.000,320,4,7,1
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.790.000,332,3,5,2
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.790.000,332,3,5,2
"Park Way, SMPW Quadra 9",1.799.000,262,4,4,2
"Asa Sul, SQS 112 Bloco K",1.800.000,"138,01",3,2,1
"Asa Sul, SHIGS 713 Bloco H",1.800.000,"324,15",4,4,2
"Jardim Botânico, Condomínio Ouro Vermelho I",1.850.000,"296,42",5,8,4
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.850.000,"296,42",5,8,4
"Park Way, SMPW QUADRA 26 CONJUNTO 5, 0",1.850.000,"1.739,44",6,5,-
"Setor Habitacional Jardim Botânico, Condomínio Parque Jardim das Paineiras",1.890.000,"464,56",5,6,3
"Jardim Botânico, Condomínio Parque Jardim das Paineiras",1.890.000,"464,56",5,6,3
"Jardim Botânico, Condomínio Morada de Deus",1.920.000,307,4,6,4
"Asa Norte, SQN 315 BLOCO E",1.950.000,"134,7",3,3,1
"Lago Norte, SHIN QI 5 Conjunto 6",1.985.000,"389,7",5,6,3
"Jardim Botânico, Condomínio Jardim Botânico VI",1.990.000,"405,8",3,6,2
"Setor Habitacional Jardim Botânico, Condomínio Jardim Botânico VI",1.990.000,"405,8",3,6,2
"Jardim Botânico, Condomínio Morada de Deus",1.990.000,278,4,5,4
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.990.000,278,4,5,4
"Park Way, SMPW QUADRA 15",1.990.000,430,5,5,2
"Jardim Botânico, MORADA DE DEUS",2.000.000,550,6,4,3
"Setor Habitacional Jardim Botânico, MORADA DE DEUS",2.000.000,550,6,4,3
"Park Way, SMPW Quadra 4 Conjunto 3",2.000.000,2.125,-,-,-
"Park Way, SMPW Quadra 4 Conjunto 3",2.090.000,2.125,-,-,-
"Park Way, SMPW Quadra 4 Conjunto 3",2.190.000,2.125,-,-,-
"Park Way, SMPW Quadra 4 Conjunto 3",2.190.000,2.150,-,-,-
"Asa Sul, CRS 509 Bloco A, 0",2.200.000,"569,14",-,4,-
"Park Way, SMPW QUADRA 25",2.300.000,600,5,10,3
"Park Way, SMPW QUADRA 22 CONJUNTO 2",2.300.000,560,4,5,2
"Lago Norte, SHIN QL 5 Conjunto 2",2.350.000,"275,59",4,4,2
"Asa Norte, SQN 215 BLOCO B",2.400.000,"175,14",3,3,2
"Park Way, SMPW QUADRA 13",2.400.000,700,4,7,-
"Jardim Botânico, Condomínio Jardins do Lago Quadra 2",2.500.000,"524,58",4,4,6
"Jardim Botânico, Jardim Botâncio III Quadra 3 Conjunto C",2.500.000,300,3,5,2
"Lago Norte, SHIN QI 7 Conjunto 13",2.600.000,450,4,6,4
"Lago Sul, SHIS QI 28",2.700.000,776,-,-,-
"Park Way, SMPW QUADRA 16 CONJUNTO 4",2.800.000,914,6,8,4
"Taquari, Quadra 4",2.800.000,700,4,7,3
"Park Way, SMPW QUADRA 15",2.950.000,520,7,9,4
"Park Way, SMPW QUADRA 16",2.980.000,420,4,7,2
"Park Way, SMPW QUADRA 13 CONJUNTO 1",2.990.000,488,3,5,3
"Lago Norte, SMLN MI Trecho 10",3.000.000,20.000,4,4,-
"Park Way, SMPW Quadra 5 Conjunto 5",3.100.000,256,3,4,6
"Sudoeste, CCSW 2",3.200.000,"295,2",5,7,3
"Jardim Botânico, Jardim Botâncio III Quadra 12 Conjunto G",3.200.000,"326,93",5,5,4
"Park Way, SMPW QUADRA 26 CONJUNTO 12",3.300.000,950,5,8,8
"Park Way, SMPW QUADRA 1 CONJUNTO 3",3.600.000,"487,76",4,6,2
"Lago Norte, CA 6 (Centro de Atividades)",3.800.000,"521,16",5,8,3
"Park Way, SMPW QUADRA 13",4.600.000,753,5,7,4
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",4.850.000,1.200,6,10,20
"Jardim Botânico, Condomínio Belvedere Green",4.850.000,1.200,6,10,20
"Paranoá, SMLN ML Trecho 12",4.900.000,5.425,-,-,-
"Lago Norte, SMLN ML Trecho 12",4.900.000,5.425,-,-,-
"Lago Sul, SHIS QI 5",5.450.000,"909,81",6,5,2
"Asa Norte, SCRN 712-713 BLOCO D",5.500.000,830,-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho II",180.000,"927,45",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",180.000,"927,45",-,-,-
"São Sebastião, DF- 140 KM 11",3.800.000,90.000,4,3,-
"Jardim Botânico, DF- 140 KM 11",3.800.000,90.000,4,3,-
"Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",1.680.000,290,3,5,-
"Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",1.780.000,290,3,5,4
"Jardim Botânico, Condomínio Morada de Deus",320.000,"734,68",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",320.000,"734,68",-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho I",597.000,1.800,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",597.000,1.800,-,-,-
"Asa Sul, SAUS Quadra 1 Bloco N Lote 1",360.000,"43,47",-,-,2
"Jardim Botânico, Condomínio Ouro Vermelho II",320.000,1.000,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",320.000,1.000,-,-,-
"Lago Norte, CA 2 (Centro de Atividades)",355.000,"30,84",1,1,1
"Jardim Botânico, Condomínio  Maxximo Garden",600.000,"719,22",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio  Maxximo Garden",600.000,"719,22",-,-,-
"Lago Norte, CA 2 (Centro de Atividades)",700.000,"59,43",1,1,1
"Lago Norte, SMLN MI Trecho 13",750.000,200,3,2,-
"Paranoá, Condomínio Residencial Jardins Genebra DF-250, KM 4,5",1.027.500,"685,15",-,-,-
"Paranoá, Condomínio Residencial Jardins Genebra DF-250, KM 4,5",1.036.500,"691,85",-,-,-
"Jardim Botânico, Condomínio Village Alvorada I",1.490.000,400,6,6,5
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.590.000,210,3,4,3
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.590.000,210,3,4,3
"Jardim Botânico, Condomínio Jardim Botânico VI",1.600.000,350,4,4,2
"Jardim Botânico, Condomínio  Maxximo Garden",2.090.000,486,4,5,-
"Setor Habitacional Jardim Botânico, Condomínio  Maxximo Garden",2.090.000,486,4,5,-
"Noroeste, SQNW 110 Bloco F",2.190.000,"118,05",3,3,2
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",2.199.000,320,4,6,3
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",2.199.000,320,4,6,3
"Asa Norte, SQN 303 BLOCO G",2.500.000,"203,06",4,4,2
"Asa Sul, SQS 104",2.580.000,236,5,3,2
"Jardim Botânico, CONDOMINIO OURO VERMELHO I",2.590.000,440,4,6,4
"Setor Habitacional Jardim Botânico, CONDOMINIO OURO VERMELHO I",2.590.000,440,4,6,4
"Lago Norte, SHIN QI 9 Conjunto 4",2.980.000,"666,61",5,6,4
"Lago Norte, SHIN QI 9 Conjunto 10",3.100.000,776,4,4,3
"Park Way, SMPW QUADRA 17",3.980.000,576,4,6,2
"Park Way, SMPW QUADRA 26 CONJUNTO 11",4.500.000,970,4,8,8
"Lago Sul, SMDB Conjunto 15",5.800.000,606,4,5,4
"Noroeste, SQNW 102 BLOCO A",6.500.000,"338,57",3,6,4
"Lago Sul, SHIS QL 4 Conjunto 3",7.830.000,670,4,7,6
"Sudoeste, SQSW 300 BLOCO S",9.800.000,"513,99",4,8,3
"Asa Sul, SHS Quadra 6",699.000,"52,8",-,1,-
"Guará II, Área Especial 4 Lotes E-F",659.000,62,2,2,1
"Asa Norte, SGAN 911 Módulo F",260.000,"25,04",1,1,1
"Asa Sul, SRTVS Bloco E Lotes 2-4",120.000,"30,96",-,1,-
"Asa Norte, CLN 316 BLOCO B",175.000,"34,23",-,1,-
"Asa Sul, SRTVS",210.000,"34,03",-,1,-
"Asa Norte, CLN 114 BLOCO C",260.000,"22,25",-,-,-
"Asa Norte, SRTVN Conjunto C",1.400.000,146,-,4,-
"Asa Sul, SCES Trecho 4",739.700,48,1,1,1
"Asa Norte, SCN QUADRA 02 BLOCO D",120.000,"25,2",-,-,2
"Jardim Botânico, Condomínio Rancho Forte Apache, 0",130.000,300,-,-,-
"Jardim Botânico, Condomínio Quinta dos Ipês",150.000,200,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Quinta dos Ipês",150.000,200,-,-,-
"Asa Norte, CLN 316 BLOCO D",155.000,"25,04",1,1,-
"Asa Norte, SRTVN Conjunto C",175.000,33,-,-,-
"Asa Sul, SRTVS, 0",190.000,32,-,1,1
"Asa Norte, SRTVN Conjunto C",190.000,33,-,1,-
"Asa Norte, SRTVN Conjunto C",190.000,33,-,-,-
"Asa Sul, SAUS Quadra 5 Bloco N Lote 2",190.000,25,-,1,-
"Asa Norte, SHN Quadra 2 Bloco F",265.000,"32,24",1,1,1
"Jardim Botânico, Condomínio Ouro Vermelho II, 0",280.000,1.000,-,-,-
"Asa Norte, STN Bloco N, 0",289.900,"32,6",-,1,-
"Asa Norte, SGAN 911",299.000,"25,16",1,1,1
"Lago Norte, CA 2 (Centro de Atividades)",299.000,"27,64",1,1,-
"Asa Norte, SHN Quadra 2 Bloco F",320.000,31,-,1,-
"Asa Norte, SCLRN 714",325.000,53,2,1,-
"Jardim Botânico, SETOR POLO DE ARTESANATO",331.000,"368,96",-,-,-
Lago Norte,335.000,"27,3",1,1,1
"Jardim Botânico, Condomínio Belvedere Green",335.000,590,-,-,-
"Jardim Botânico, Travessa Poço Azul Residencial Santa Mônica",340.000,"779,97",-,-,-
"Setor Habitacional Jardim Botânico, Travessa Poço Azul Residencial Santa Mônica",340.000,"779,97",-,-,-
"Jardim Botânico, Condomínio Morada de Deus",340.000,798,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",340.000,798,-,-,-
"Jardim Botânico, SETOR POLO DE ARTESANATO",341.000,"379,13",-,-,-
"Jardim Botânico, Condomínio Morada de Deus",349.000,713,-,-,-
"Asa Norte, SCRN 704-705 BLOCO F",350.000,"33,28",1,1,-
"Jardim Botânico, SETOR POLO DE ARTESANATO",350.000,"390,27",-,-,-
"Jardim Botânico, Condomínio Belvedere Green",350.000,800,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",350.000,800,-,-,-
"Jardim Botânico, Condomínio Verde",350.000,"843,83",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Verde",350.000,"843,83",-,-,-
"Jardim Botânico, Condomínio Morada de Deus",350.000,599,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",350.000,599,-,-,-
"Jardim Botânico, Condomínio Belvedere Green",360.000,"1.049,61",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",360.000,"1.049,61",-,-,-
"Asa Sul, SEPS 713-913",370.000,32,1,1,1
"Jardim Botânico, Condomínio Belvedere Green",370.000,"925,12",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",370.000,"925,12",-,-,-
"Jardim Botânico, Condomínio Belvedere Green",370.000,"756,3",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",370.000,"756,3",-,-,-
"Jardim Botânico, Condomínio Morada de Deus, 0",370.000,573,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus, 0",370.000,573,-,-,-
"Lago Norte, SMLN MI Trecho 07 Conjunto 2",380.000,90,2,1,2
"Asa Norte, SRTVN, 0",380.000,68,-,1,1
"Jardim Botânico, Condominio Residencial Santa Monica - Travessa Bem-te-vis",380.000,1.028,-,-,-
"Setor Habitacional Jardim Botânico, Condominio Residencial Santa Monica - Travessa Bem-te-vis",380.000,1.028,-,-,-
"Jardim Botânico, Condomínio Morada de Deus",380.000,"599,41",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",380.000,"599,41",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",380.000,"725,61",-,-,-
"Jardim Botânico, Condomínio Morada de Deus",380.000,"725,61",-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho I",390.000,1.100,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",390.000,1.100,-,-,-
"Jardim Botânico, Condomínio Verde",390.000,1.000,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Verde",390.000,1.000,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Residencial Jardim da Serra",395.000,190,3,4,4
"Jardim Botânico, Condomínio Condomínio Boulevard Residence",395.000,"399,3",-,-,-
"Jardim Botânico, Condomínio Boulevard Residence",395.000,426,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Boulevard Residence",395.000,426,-,-,-
"Lago Norte, CA 2 (Centro de Atividades)",400.000,"31,53",1,1,1
"Jardim Botânico, Condomínio Ouro Vermelho I",408.000,"947,53",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",408.000,"947,53",-,-,-
"Jardim Botânico, Condomínio Belvedere Green",415.000,908,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Belvedere Green",415.000,908,-,-,-
"Jardim Botânico, Condomínio Verde",420.000,"1.039,75",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Verde",420.000,"1.039,75",-,-,-
"Jardim Botânico, Condomínio Solar da Serra",420.000,1.671,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Solar da Serra",420.000,1.671,-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho I",420.000,"935,75",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",420.000,"935,75",-,-,-
"Asa Norte, CLN 407 BLOCO B",430.000,"79,28",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",430.000,"661,42",-,-,-
"Jardim Botânico, Condomínio Morada de Deus",430.000,"661,42",-,-,-
"Setor Tororó, Alameda Condominio Residencial Santa Monica",440.000,1.000,-,-,-
"Jardim Botânico, Alameda Condominio Residencial Santa Monica",440.000,1.000,-,-,-
"Jardim Botânico, Condomínio Verde",449.000,60,2,1,2
"Setor Tororó, Condomínio Jardim Atlântico Sul",450.000,"539,5",-,-,-
"Zona Industrial, SIG Quadra 6",459.300,"45,93",1,1,1
"Asa Norte, SHCGN 707 BLOCO N",480.000,50,2,2,-
"Centro, SRTVS",480.000,"61,92",-,1,-
"Asa Sul, SRTVS",480.000,"61,92",-,1,-
"Asa Norte, SCRN 714-715 BLOCO F",490.000,"70,38",3,1,-
"Asa Sul, CRS 514 Bloco C",495.000,"43,8",2,2,-
"Jardins Mangueiral, Quadra QC 10 Rua Q",499.000,"74,61",2,2,2
"Setor Habitacional Tororó (Jardim Botânico), Condomínio Residencial Shalon SHTO DF-140",499.000,623,-,-,-
"Jardim Botânico, Condomínio Lago Sul II",500.000,700,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Lago Sul II",500.000,700,-,-,-
"Jardim Botânico, Condominio Residencial Santa Monica - Travessa Santuário",520.000,2.000,-,-,-
"Setor Habitacional Jardim Botânico, Condominio Residencial Santa Monica - Travessa Santuário",520.000,2.000,-,-,-
"Jardim Botânico, Travessa Condominio Residencial Santa Monica - Travessa Raizama",520.000,2.000,-,-,-
"Setor Habitacional Jardim Botânico, Travessa Condominio Residencial Santa Monica - Travessa Raizama",520.000,2.000,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Residencial Jardim da Serra",550.000,256,3,2,4
"Jardim Botânico, Condomínio Santa Felicidade",550.000,170,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Santa Felicidade",550.000,170,-,-,-
"Asa Norte, SCRN 714-715 BLOCO F",570.000,70,2,2,-
"Noroeste, SQNW 307",590.000,34,1,1,1
"Asa Norte, SHCGN 707 BLOCO D",590.000,45,1,1,-
"Jardim Botânico, Condomínio Ouro Vermelho II",590.000,227,2,2,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",590.000,227,2,2,2
"Jardim Botânico, Condomínio Morada de Deus",590.000,725,-,-,-
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",595.000,"34,58",1,1,1
"Jardim Botânico, Condomínio Privê Morada Sul Etapa C",595.000,"708,75",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Privê Morada Sul Etapa C",595.000,"708,75",-,-,-
"Jardim Botânico, Condomínio Verde",599.000,145,1,1,2
"Setor Habitacional Jardim Botânico, Condomínio Verde",599.000,145,1,1,2
"Lago Norte, CA 2 (Centro de Atividades)",600.000,"67,58",1,2,1
"Jardim Botânico, Condomínio Mônaco",610.000,"304,94",3,3,3
"Sudoeste, QRSW 3 BLOCO B-6",640.000,60,2,1,-
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",649.000,630,-,-,-
"Jardim Botânico, Condomínio Mônaco",650.000,175,3,2,2
"Jardim Botânico, Condomínio Condomínio São Francisco II",650.000,295,3,3,-
"Setor Tororó, Condomínio Jardim Atlântico Sul",650.000,"869,19",-,-,-
"Jardim Botânico, Condomínio  Mansões Itaipu",650.000,1.000,-,-,-
"Jardim Botânico, Condomínio Residencial Mansões Itaipu",650.000,1.000,-,-,-
